left_eye_center_x,left_eye_center_y,right_eye_center_x,right_eye_center_y,left_eye_inner_corner_x,left_eye_inner_corner_y,left_eye_outer_corner_x,left_eye_outer_corner_y,right_eye_inner_corner_x,right_eye_inner_corner_y,right_eye_outer_corner_x,right_eye_outer_corner_y,left_eyebrow_inner_end_x,left_eyebrow_inner_end_y,left_eyebrow_outer_end_x,left_eyebrow_outer_end_y,right_eyebrow_inner_end_x,right_eyebrow_inner_end_y,right_eyebrow_outer_end_x,right_eyebrow_outer_end_y,nose_tip_x,nose_tip_y,mouth_left_corner_x,mouth_left_corner_y,mouth_right_corner_x,mouth_right_corner_y,mouth_center_top_lip_x,mouth_center_top_lip_y,mouth_center_bottom_lip_x,mouth_center_bottom_lip_y
65,39,30,38,58,40,73,40,38,39,23,39,56,31,77,26,41,30,14,27,48,59,62,78,30,78,46,75,46,84
64,37,30,36,58,38,70,37,37,37,22,37,55,30,78,29,39,30,18,27,48,54,62,73,35,74,51,69,51,80
65,35,29,36,58,36,73,36,37,37,22,37,54,32,79,27,42,32,15,33,46,60,60,72,32,73,47,69,46,79
67,39,31,38,57,38,73,39,39,38,25,39,55,27,81,26,42,27,18,27,46,57,63,72,35,73,51,69,51,79
67,36,30,34,57,37,71,37,39,36,25,35,57,29,76,29,40,28,18,27,46,60,65,78,29,79,51,69,51,85
63,39,32,40,56,40,70,40,39,40,25,41,55,27,76,28,41,26,18,27,47,55,61,75,33,75,47,71,46,82
67,37,29,35,60,38,74,38,38,36,23,36,58,29,77,27,42,27,18,27,48,54,60,76,33,75,46,72,46,82
66,38,29,36,59,39,74,39,36,37,22,37,57,28,79,28,37,26,17,27,47,60,63,78,33,79,51,75,48,85
65,38,29,39,58,39,73,39,39,39,22,40,54,29,77,28,41,29,16,28,49,54,63,74,34,75,48,71,47,83
63,36,29,35,57,37,70,36,36,36,19,36,55,27,78,27,38,27,12,29,44,56,63,73,29,73,50,71,47,80
65,39,30,40,56,39,72,39,37,40,24,41,53,29,78,31,39,31,14,33,47,54,65,76,31,77,45,71,45,82
66,37,30,35,59,38,73,38,37,36,23,36,56,27,77,28,40,27,16,28,49,55,61,73,34,73,48,69,47,79
64,36,27,35,56,38,70,37,37,38,20,36,53,26,82,26,38,26,12,27,45,58,60,72,35,73,48,69,47,79
69,36,31,34,59,36,74,37,39,35,25,35,59,29,79,29,42,27,18,27,49,54,60,72,29,79,51,69,47,79
65,34,28,36,58,35,73,35,36,37,22,37,54,32,80,27,41,32,14,33,46,60,64,72,32,73,47,69,46,79
64,36,32,40,62,36,70,37,39,40,25,41,59,28,76,31,42,29,18,33,44,54,64,73,29,73,51,69,45,79
69,37,31,34,62,39,76,38,39,35,24,35,59,32,82,27,42,32,18,33,46,54,66,72,29,73,45,75,45,85
67,35,29,40,59,37,70,39,39,40,25,41,57,29,79,26,42,30,17,31,50,60,66,72,31,73,45,69,50,79
68,38,29,35,61,39,76,39,36,36,23,36,57,32,82,30,39,28,18,27,46,60,63,73,33,77,45,75,45,85
64,37,26,40,56,38,72,38,34,40,19,41,53,31,79,30,38,32,12,33,46,54,65,74,33,75,47,70,50,80
67,36,28,36,60,37,75,37,36,37,22,37,57,30,82,26,40,31,14,27,48,59,60,78,35,79,48,75,48,85
69,37,26,37,57,38,70,38,39,34,19,38,55,29,76,30,41,29,18,30,48,60,63,72,30,73,45,69,51,79
66,38,31,38,59,39,74,40,39,39,24,39,56,31,77,26,42,31,18,27,48,59,61,78,32,78,47,75,47,84
66,37,30,35,59,38,75,38,37,36,24,35,53,32,82,31,39,28,12,30,44,56,60,72,35,73,51,69,45,81
66,39,30,38,57,39,72,40,39,40,24,40,54,27,79,26,41,27,17,27,45,57,60,72,35,73,48,69,50,79
65,38,28,36,58,39,72,39,36,37,19,37,56,30,78,29,38,28,16,27,47,54,60,77,35,77,49,72,49,84
65,39,29,39,57,40,71,40,39,39,23,40,55,31,76,32,41,31,17,33,46,60,66,72,29,73,45,69,51,79
67,36,29,37,59,37,74,37,37,37,21,38,56,26,79,27,39,26,15,29,49,54,66,74,31,75,45,73,45,84
67,38,29,36,60,39,74,39,37,37,22,37,59,32,82,32,39,30,14,30,49,57,63,75,31,74,51,72,51,83
63,34,32,39,56,35,70,35,39,37,25,41,53,28,76,28,39,29,18,32,44,57,60,72,35,79,47,75,51,85
67,37,28,38,59,38,75,38,38,38,21,39,55,29,80,29,42,29,13,31,50,55,64,76,35,76,49,72,49,85
66,39,30,37,58,40,73,40,38,39,20,39,55,31,80,32,41,29,14,31,47,60,66,78,29,79,51,75,51,84
67,36,27,36,57,36,70,36,33,38,19,38,53,27,76,32,42,27,12,27,49,54,64,74,33,73,48,69,51,82
69,39,28,37,62,40,75,40,33,38,21,38,53,28,81,28,41,26,12,28,48,56,61,76,30,75,45,71,49,85
66,39,28,36,59,40,74,40,36,37,21,37,57,30,79,26,36,27,17,27,46,60,63,78,29,79,45,69,45,85
66,39,31,38,57,38,73,40,39,39,25,40,54,29,80,26,42,28,18,27,46,58,61,72,35,73,51,69,50,79
63,36,31,36,56,38,70,37,38,37,22,36,56,29,76,29,39,29,17,27,44,54,61,73,35,74,51,69,51,79
65,35,30,36,57,36,73,36,37,37,23,37,56,32,79,28,42,32,16,33,46,60,66,72,30,73,45,69,51,84
66,35,31,36,59,36,72,35,38,37,23,37,57,28,76,27,40,31,17,27,44,54,63,73,35,74,51,70,51,80
65,33,31,36,58,34,72,34,36,36,24,37,58,31,79,26,39,30,17,31,47,60,65,78,35,73,45,69,51,82
64,36,32,39,57,37,73,37,36,40,21,40,55,26,81,28,38,30,15,31,44,56,60,78,29,73,51,75,51,85
69,33,28,34,60,34,73,34,34,40,22,35,53,26,82,32,36,32,12,27,50,54,66,72,35,73,51,72,51,82
64,39,32,40,56,40,70,40,37,40,25,41,53,32,82,32,38,32,12,33,45,54,63,78,32,79,46,73,51,84
64,37,30,37,56,37,71,38,39,38,25,39,54,27,78,26,41,27,18,27,46,56,60,72,34,73,51,69,50,79
66,34,31,34,59,36,72,35,37,35,23,35,58,27,81,27,39,27,18,27,45,54,64,72,35,73,51,69,51,79
63,39,28,36,60,39,76,34,36,38,20,35,58,32,81,26,38,32,14,27,44,55,66,72,29,77,45,73,46,81
64,37,31,36,58,38,71,38,37,37,23,36,57,29,78,30,39,28,15,30,44,56,60,78,35,78,51,75,51,85
65,39,28,38,58,40,73,40,36,38,21,39,58,30,76,29,36,28,17,28,48,60,63,78,32,79,46,69,46,85
68,36,30,34,62,36,76,37,36,35,23,35,58,28,81,29,41,27,17,27,49,60,62,72,34,73,48,69,47,79
66,37,31,38,60,37,73,37,37,39,24,39,58,30,82,30,39,31,15,33,44,54,66,72,31,73,45,69,51,83
64,37,29,37,57,38,70,38,38,38,23,39,54,29,76,31,40,29,16,31,50,54,61,72,35,73,48,69,49,79
67,35,29,34,59,38,74,37,39,35,22,36,59,28,80,28,41,27,16,27,48,55,60,73,34,73,47,69,47,79
69,39,29,36,58,37,75,39,33,37,23,36,56,27,76,29,42,26,18,27,46,59,60,73,35,73,47,69,47,79
69,39,30,36,58,37,73,39,33,38,22,37,55,27,76,29,42,26,18,27,47,59,60,74,35,73,49,71,50,80
66,38,32,38,59,39,72,39,39,38,23,41,56,31,77,31,42,30,17,31,49,60,63,74,29,75,50,69,49,79
65,39,29,38,59,40,73,40,36,39,22,39,57,31,77,30,37,29,18,27,48,60,62,78,33,79,46,69,47,85
65,39,28,38,58,40,72,40,35,39,22,39,55,32,80,31,40,31,18,28,49,54,63,72,34,73,48,71,47,81
66,38,30,37,58,39,73,39,38,37,23,38,55,31,77,31,38,29,16,31,47,54,61,74,35,75,48,71,50,81
68,38,29,36,62,40,74,38,35,37,21,37,59,32,79,26,42,26,12,27,49,55,61,74,32,73,46,69,46,85
65,39,28,38,58,39,73,40,37,38,20,39,54,30,78,31,41,29,14,31,48,54,62,75,32,75,46,71,46,84
67,37,28,36,60,39,73,37,37,37,21,36,59,28,81,29,37,27,17,27,47,55,62,77,34,78,48,73,48,84
66,37,29,37,58,39,70,40,39,38,25,39,56,31,78,28,42,30,16,29,50,60,63,72,29,73,45,69,48,79
67,38,30,36,60,39,74,39,38,37,23,37,57,30,82,32,41,29,16,30,49,54,63,75,33,74,47,69,45,80
68,36,28,34,61,37,75,38,36,34,22,35,59,28,76,28,41,26,16,33,47,58,64,73,29,73,45,74,49,84
67,36,29,36,60,37,75,37,36,36,22,37,56,29,80,29,40,29,16,28,49,54,62,72,33,73,46,69,46,79
68,38,30,36,62,40,74,39,39,37,23,37,53,27,79,26,41,26,12,28,48,54,60,72,35,73,48,69,49,79
66,38,29,39,57,39,73,39,36,39,20,40,54,27,80,31,39,27,13,32,46,54,66,77,29,78,48,72,48,82
66,38,26,40,62,39,71,39,33,37,19,35,53,27,76,31,42,30,12,30,48,56,66,76,29,74,48,75,45,85
63,35,31,34,58,36,70,36,38,34,21,35,58,27,76,29,40,26,14,28,44,55,60,75,35,75,51,72,51,82
63,39,29,40,56,40,70,40,36,35,19,41,55,31,77,32,37,26,14,27,50,57,62,72,32,78,46,75,45,85
63,38,32,40,56,39,70,38,39,40,25,41,55,31,76,32,41,32,18,33,49,60,64,72,34,73,45,69,47,79
66,37,29,34,57,38,70,37,38,35,22,35,57,29,76,29,40,27,17,27,47,54,60,73,35,73,45,69,45,79
68,36,26,34,57,40,73,35,39,40,20,35,59,27,80,28,39,26,14,27,46,56,60,72,32,73,45,69,45,79
64,38,29,38,57,39,71,39,39,39,22,39,53,26,77,26,39,26,13,28,49,54,62,72,34,73,49,69,48,79
67,39,29,36,58,39,74,40,37,37,23,37,55,30,82,32,41,28,18,27,46,55,60,75,32,74,46,72,45,81
67,35,32,40,57,36,74,37,39,40,25,41,55,27,79,28,41,28,18,28,44,60,66,74,29,73,51,69,45,80
66,38,29,38,58,39,73,39,37,39,21,39,55,29,79,31,41,28,14,32,47,58,60,78,35,79,49,75,51,85
66,39,29,39,57,39,72,40,39,40,25,40,53,27,80,26,41,27,18,27,46,56,61,72,35,73,51,69,50,79
65,37,28,39,58,38,73,39,38,39,21,40,54,30,77,30,41,30,15,32,50,54,63,75,35,75,48,71,48,84
64,37,26,40,56,38,70,38,35,40,25,40,53,30,82,32,38,32,12,33,45,54,60,75,35,75,48,70,49,81
63,38,29,34,56,39,70,39,36,36,21,35,56,30,77,32,37,27,13,28,50,57,60,78,31,77,51,75,48,85
67,36,28,35,60,37,75,37,35,36,21,37,56,29,79,29,39,29,16,28,49,54,64,72,33,74,46,72,47,83
63,35,30,39,56,36,72,36,35,40,24,40,56,32,77,27,38,32,17,33,45,60,64,78,33,73,45,69,51,81
67,37,29,36,60,37,72,38,36,36,22,37,57,29,77,30,40,28,15,27,50,60,61,72,34,73,47,69,47,79
66,37,27,36,59,38,73,37,35,38,20,37,55,31,82,30,40,32,13,27,47,60,60,78,34,79,47,75,47,85
67,37,28,36,60,37,75,38,36,37,22,37,57,29,80,27,42,29,18,27,47,56,60,77,33,78,46,74,46,84
63,35,31,35,58,36,70,36,37,36,23,36,57,27,76,28,39,28,13,31,44,55,60,77,35,78,51,73,51,84
65,36,30,35,58,37,71,37,37,37,23,36,58,30,76,31,38,30,18,31,44,54,62,72,34,73,51,69,48,80
63,39,29,40,56,39,70,40,33,40,23,41,53,26,78,32,38,32,12,33,50,54,66,76,35,73,51,73,51,83
64,37,27,40,56,38,71,38,35,40,20,41,54,31,77,30,39,32,13,33,46,54,62,74,34,75,48,69,49,80
63,39,31,40,56,40,70,40,39,40,25,40,54,31,78,32,41,29,15,30,47,54,62,74,34,75,47,71,49,82
65,39,32,38,58,40,71,40,39,39,25,39,56,30,76,32,42,29,15,30,47,57,62,77,31,77,46,73,45,83
68,36,29,34,61,37,76,37,37,34,23,35,54,32,82,26,38,26,18,27,45,58,60,72,31,73,45,74,45,83
64,36,31,37,58,37,70,36,37,38,22,38,57,30,76,29,39,31,16,27,44,54,61,73,29,73,51,70,51,79
67,37,29,37,61,38,75,38,36,37,23,38,57,29,79,30,41,30,18,30,49,54,62,72,35,73,48,69,48,79
65,38,30,38,57,38,71,39,39,38,25,39,54,28,78,26,41,27,18,27,46,55,60,72,35,73,51,69,49,79
64,37,31,37,58,38,71,38,37,38,23,38,57,31,78,30,38,30,18,29,48,54,62,72,35,73,51,69,51,79
67,38,29,37,59,38,75,39,39,37,22,38,56,28,80,30,42,27,16,27,49,54,62,74,33,74,47,69,47,81
65,38,30,38,57,38,72,39,39,38,25,39,54,27,79,26,42,27,18,27,46,56,61,72,35,73,50,69,51,79
66,35,29,36,59,36,74,36,37,37,23,37,53,32,81,27,42,32,15,33,47,60,61,72,32,73,49,69,48,79
69,33,26,34,62,34,76,34,33,34,19,35,55,27,76,27,37,26,13,27,48,60,66,77,29,75,51,69,51,85
66,39,28,38,58,39,70,39,38,37,21,38,56,30,80,29,40,29,15,30,45,60,66,78,29,77,46,69,47,85
66,38,31,40,57,39,74,39,38,40,24,41,54,29,80,31,40,31,15,33,49,54,66,74,31,77,45,71,45,81
67,35,27,40,60,36,74,36,35,40,20,41,53,27,78,26,37,31,12,30,50,56,66,76,35,79,50,74,49,85
67,37,28,36,60,38,72,38,34,37,21,37,57,31,77,30,39,30,16,27,49,55,60,74,34,74,48,70,47,80
66,36,30,34,57,38,72,37,39,35,24,35,57,28,77,29,40,27,18,27,47,54,60,72,35,73,46,69,46,79
65,38,27,40,56,38,70,40,37,40,25,41,54,31,81,27,39,32,12,33,46,54,64,77,33,78,48,72,50,83
64,35,32,37,57,36,71,36,37,38,24,38,56,29,79,28,39,31,17,32,44,54,60,72,35,74,51,69,51,79
69,33,30,35,62,34,76,34,33,40,23,39,53,29,82,32,42,26,13,27,50,54,66,72,35,73,51,73,51,82
63,36,32,36,56,38,70,37,38,37,25,37,55,29,76,29,40,30,18,30,45,54,62,72,33,73,51,69,51,79
67,39,30,36,57,38,74,40,33,38,24,37,54,28,82,26,42,27,18,27,46,58,60,72,35,73,47,69,49,79
64,39,32,40,56,40,71,40,38,40,25,41,53,29,78,31,39,31,12,33,47,54,66,75,30,76,46,71,51,81
66,37,29,35,60,37,73,38,36,36,23,36,57,29,78,30,40,28,18,28,48,60,60,72,35,73,49,69,47,79
65,37,32,37,60,37,72,37,38,38,25,38,57,30,77,29,40,30,16,27,44,55,60,74,34,73,51,71,51,81
66,37,29,37,59,39,73,38,36,39,22,38,58,32,77,26,37,32,18,27,44,59,60,77,35,77,51,74,50,84
64,37,32,35,58,37,71,38,38,36,24,36,58,29,77,30,40,28,17,29,44,54,60,75,35,74,51,71,51,81
65,35,30,36,59,36,72,35,37,37,21,36,58,29,77,27,39,30,15,27,44,55,62,73,35,73,51,70,51,80
64,37,26,39,56,37,76,40,35,40,24,40,53,29,82,30,38,32,12,33,45,54,63,77,32,79,47,72,50,83
66,37,29,36,60,38,74,38,37,37,22,37,58,31,82,31,42,32,16,31,48,55,61,74,34,74,47,70,47,81
66,37,29,35,59,39,73,38,37,36,21,36,57,28,80,30,38,26,18,27,47,54,61,74,33,74,48,70,47,80
67,37,28,37,58,38,76,38,39,38,22,38,55,29,80,28,41,29,12,27,50,57,66,75,32,77,47,73,48,85
66,38,27,37,59,39,74,39,36,38,19,39,55,30,81,32,38,30,14,30,47,55,65,77,30,77,45,73,47,84
67,37,26,34,60,38,75,38,34,35,19,35,57,30,81,29,42,28,14,27,50,57,60,78,30,78,45,75,45,85
69,36,29,34,60,36,74,36,39,34,23,35,59,28,81,29,41,26,17,27,48,55,60,74,34,73,46,70,46,80
69,39,28,34,62,40,76,40,33,40,25,41,53,27,78,32,36,32,12,29,50,60,65,72,35,73,51,69,51,79
63,35,31,34,56,35,70,36,37,36,21,35,53,26,82,26,38,26,12,27,44,57,60,72,35,73,48,69,47,79
64,37,31,38,58,38,71,38,37,39,22,38,57,29,77,30,39,30,15,32,44,56,60,78,35,79,51,75,51,85
66,38,29,36,59,38,75,39,37,37,22,37,56,30,80,30,39,29,17,27,46,60,63,78,29,79,45,75,45,85
66,36,29,37,60,37,73,36,36,37,22,38,59,29,82,28,38,30,14,32,44,54,66,72,34,73,45,69,51,83
65,39,27,37,58,40,74,40,35,38,20,38,57,30,79,26,36,28,15,27,47,60,62,78,35,73,45,69,49,85
67,34,28,40,59,38,74,38,33,40,25,41,53,29,80,26,36,32,14,28,49,54,65,72,33,73,51,73,50,82
64,35,31,35,56,35,70,35,37,36,25,36,53,26,82,26,38,26,12,27,44,56,60,72,35,73,50,69,49,79
67,37,29,37,60,38,74,38,37,38,21,38,56,30,81,31,39,29,16,29,48,54,63,76,34,77,50,72,50,82
67,38,28,39,57,38,74,39,37,40,22,41,54,30,78,30,39,31,12,27,47,60,66,78,29,79,45,75,45,85
63,39,32,40,56,39,70,39,39,40,25,41,53,28,78,31,40,30,15,33,48,54,66,72,32,74,45,69,51,84
65,38,27,36,58,39,73,39,35,37,20,37,56,29,78,29,36,28,16,27,46,60,61,78,31,79,45,69,45,85
68,37,28,38,61,38,75,38,36,39,21,39,58,31,82,26,38,31,12,31,50,59,64,76,35,77,49,73,46,84
66,36,29,36,59,37,73,37,37,36,22,37,56,27,78,27,40,27,15,28,49,55,65,72,31,73,48,73,48,83
69,38,31,38,62,40,75,39,39,38,24,39,56,26,80,26,42,26,12,29,50,54,61,72,35,73,48,69,48,79
67,37,28,36,60,37,75,38,36,37,22,37,57,30,82,29,41,31,12,27,48,60,63,78,33,79,50,75,47,85
63,39,32,40,56,40,70,40,39,40,25,41,53,28,80,32,41,30,15,33,48,54,66,74,31,75,47,69,50,79
64,34,30,37,56,35,72,35,36,40,25,38,53,27,82,26,36,32,18,30,48,60,66,73,35,73,51,72,45,81
64,38,28,37,57,37,71,38,36,37,22,38,53,32,76,31,38,30,17,30,46,54,60,73,34,74,46,71,46,81
65,34,32,34,58,36,71,35,38,35,22,35,57,27,79,26,40,27,15,27,44,55,62,72,35,73,51,69,49,79
65,38,29,39,58,39,73,39,38,40,20,40,55,29,78,31,41,29,13,33,49,59,60,78,35,79,51,75,51,85
64,39,31,38,58,40,70,40,38,39,22,40,55,32,76,32,41,29,15,33,47,56,61,78,31,79,46,74,45,85
69,35,28,34,58,40,74,35,39,34,23,35,59,27,81,28,41,26,18,27,47,54,60,72,33,73,45,69,45,79
66,37,30,34,59,38,72,38,39,35,24,35,56,29,78,30,42,28,18,28,46,58,64,74,29,73,51,69,51,79
64,36,30,38,58,37,70,36,37,39,22,39,56,27,76,27,39,29,14,32,44,54,61,72,30,73,51,69,51,79
68,35,27,35,58,34,72,36,39,35,20,36,56,26,81,26,41,26,12,27,49,60,66,74,29,73,45,69,51,79
69,37,26,36,56,40,76,37,35,37,19,36,54,32,82,28,36,29,17,27,47,54,66,78,31,74,45,70,45,85
66,37,31,35,58,38,71,37,39,36,25,36,58,29,76,30,42,28,18,27,48,54,60,72,35,73,51,69,47,79
64,38,26,40,56,39,70,39,36,40,25,41,53,31,79,27,39,32,12,33,45,54,63,75,33,76,47,70,48,80
65,39,30,38,57,40,73,40,37,39,22,39,54,28,80,31,40,26,13,32,47,54,66,78,29,77,46,72,47,82
64,37,30,38,58,38,71,37,36,39,23,39,57,31,80,31,38,32,16,33,44,54,64,72,35,73,50,69,51,79
63,36,31,38,57,37,70,36,37,39,22,38,57,29,76,28,38,32,17,27,44,54,61,72,34,73,51,69,51,79
63,35,28,34,56,40,70,36,35,35,21,35,54,26,79,28,37,26,15,27,50,54,66,72,35,73,50,69,47,79
67,39,28,36,60,40,74,40,36,37,21,37,58,32,82,28,38,29,12,29,49,58,61,78,32,77,46,74,45,85
66,39,28,37,59,39,74,40,36,38,21,38,58,29,79,26,36,28,17,27,47,60,63,78,31,79,46,69,45,85
68,39,32,40,56,40,75,40,39,39,25,41,57,27,82,26,39,26,18,27,47,54,66,73,30,74,45,71,47,81
66,36,29,38,60,37,74,37,36,39,22,39,56,30,82,29,40,32,15,32,49,55,65,76,35,77,49,71,51,82
69,36,30,35,62,37,76,37,37,35,22,36,59,28,81,29,42,27,16,28,50,59,65,72,34,73,46,69,48,80
66,36,30,37,59,37,72,36,37,38,23,38,58,30,77,28,39,32,14,27,44,57,62,75,33,75,51,72,50,85
64,39,32,37,59,40,71,40,39,38,24,38,56,32,77,32,42,29,17,31,44,56,60,77,33,76,47,73,45,83
63,36,32,38,57,37,70,37,39,38,25,40,56,29,76,30,41,31,18,32,50,59,65,72,33,73,51,75,45,79
66,37,27,36,59,38,73,37,35,38,20,37,55,31,82,30,40,32,13,27,47,60,60,78,34,79,47,75,47,85
69,37,30,38,58,39,72,39,39,38,23,40,53,26,77,28,42,28,13,31,48,54,60,72,35,73,47,69,48,79
63,36,32,37,58,37,70,37,38,38,24,38,58,28,77,30,40,29,17,31,44,54,60,75,35,75,51,72,51,82
67,37,30,35,58,37,71,37,39,36,25,36,57,30,76,30,41,28,18,27,48,60,60,72,29,79,51,69,51,79
68,39,30,35,61,39,75,40,38,36,23,35,59,32,82,32,40,28,16,28,50,56,65,74,29,73,51,70,47,84
65,39,32,37,58,40,71,39,39,38,23,38,56,29,76,30,41,27,17,29,47,54,62,74,32,74,47,70,46,81
67,39,32,36,60,40,74,39,39,37,22,37,57,30,76,30,42,28,16,29,47,57,62,77,32,76,47,73,47,83
63,39,30,37,59,38,70,39,39,38,25,39,57,30,80,27,42,30,18,29,50,60,66,72,29,73,45,69,51,79
65,38,31,37,58,39,72,39,38,38,22,38,56,29,79,30,41,29,16,30,47,56,63,78,33,78,47,74,46,84
64,34,30,38,57,35,72,35,36,38,24,39,57,32,78,26,38,31,17,32,47,60,63,78,34,73,45,69,51,82
65,39,31,37,58,40,72,40,39,38,23,38,56,31,77,32,42,29,17,31,47,56,62,78,31,78,46,73,51,81
63,33,31,37,56,34,70,34,36,37,25,38,56,32,76,26,37,31,18,31,45,60,63,78,35,73,51,75,51,79
65,39,31,38,58,40,72,39,39,38,24,40,53,29,77,29,42,28,14,31,47,54,60,72,35,73,47,69,48,79
66,37,27,37,58,38,72,37,36,37,20,38,55,27,77,27,38,27,12,31,49,55,64,75,31,76,46,69,48,85
64,37,29,37,58,38,70,37,36,38,22,38,57,30,76,32,37,30,18,30,50,60,63,73,33,74,50,70,47,81
63,35,31,36,56,37,70,36,36,37,23,37,54,28,76,28,39,29,18,28,50,60,60,72,35,73,51,69,51,79
69,38,29,37,60,38,76,39,39,37,21,38,56,29,82,29,42,27,14,30,50,55,64,76,33,76,47,73,47,84
66,39,28,37,59,40,74,40,36,37,21,38,57,29,78,29,36,26,16,27,47,60,63,78,32,79,51,75,47,85
65,33,27,34,58,34,73,34,33,35,19,35,55,26,78,26,36,26,13,27,50,54,64,72,29,73,49,69,48,82
65,34,28,35,58,35,73,35,36,36,22,37,54,32,80,27,42,32,15,33,46,60,66,72,30,73,45,69,45,79
66,37,29,36,59,38,72,38,35,36,23,36,56,31,77,31,39,29,18,28,48,54,60,72,33,73,47,69,46,79
68,35,28,36,61,37,75,36,35,37,19,38,56,32,82,27,42,28,12,27,50,57,64,78,34,78,48,75,49,85
65,38,29,38,56,38,72,39,38,38,23,39,54,28,82,26,40,28,18,27,45,60,61,73,35,73,49,69,51,80
69,35,30,37,62,36,76,35,37,38,23,38,59,28,81,27,39,30,12,31,44,55,60,75,29,73,45,69,51,85
67,34,30,35,60,35,71,34,38,36,23,36,58,27,81,26,40,28,18,30,48,55,62,75,35,75,48,72,48,82
